,name,x,y,layer,i,j
0,5857808,5149366.00135,17554698.003491,1,228,617
1,6701203,5157184.002421,17536808.005037,1,243,614
2,6701301,5164750.004501,17537229.001984,1,246,619
3,6701313,5171225.99631,17538973.997085,1,247,624
4,6701403,5141383.004399,17521461.000504002,1,245,598
5,6701606,5160314.003633,17527518.001902,1,250,612
6,6701607,5162532.003567,17525941.997166,1,252,613
7,6701701,5143826.998785,17512082.994964,1,252,595
8,6701809,5154995.997474,17518452.001185,1,253,605
9,6701812,5155270.997716,17510643.003592998,1,258,602
10,6701826,5148715.000298,17509334.99778,1,256,597
11,6708903,5132158.998955,17511158.002142,1,248,588
12,6709101,5138614.0042550005,17497616.998196,1,259,586
13,6709105,5137921.999317,17493673.996712,1,261,584
14,6709106,5136929.999096,17496441.995723,1,259,584
15,6709110,5138541.997261,17493244.999689,1,262,584
16,6709113,5135887.996343,17491433.00105,1,261,582
17,6709116,5145486.002278,17504248.997927,1,258,593
18,6709401,5144930.0023610005,17488140.000161,1,267,586
19,6808902,5131661.005245,17512392.000823002,1,247,588
20,6815606,5084417.00133,17478767.000926,1,247,544
21,6815803,5071472.003636,17465021.999953,1,250,530
22,6815807,5067924.00298,17459737.999745,1,252,526
23,6815809,5077517.996305999,17465718.999898,1,252,534
24,6815902,5089126.005555999,17461601.999343,1,260,540
25,6815903,5088774.002367,17461046.997694,1,260,539
26,6815907,5089310.000867,17459985.004507,1,261,539
27,6815912,5088852.999890001,17459919.003339,1,261,539
28,6816202,5107669.001682,17491664.996571,1,249,564
29,6816501,5115773.000363,17477547.999126002,1,261,563
30,6816502,5118115.001313,17479956.998252,1,261,566
31,6816601,5132498.000342,17488117.997634,1,262,578
32,6816602,5125590.001847,17474998.998257,1,267,568
33,6816603,5127888.003811,17487823.003093,1,260,575
34,6816701,5100304.004768,17461120.998228,1,265,546
35,6816703,5104022.995778,17459868.002039,1,267,548
36,6816801,5116559.999496,17472148.994298,1,265,561
37,6816803,5109942.998805,17465893.994739,1,266,554
38,6821802,4989121.003361,17413009.002409,1,246,456
39,6821806,4992098.994779,17412833.999129,1,248,458
40,6821903,5008433.000433,17420077.002178,1,250,471
41,6822601,5043312.995695,17431071.998095002,1,259,498
42,6822602,5041974.002495,17431116.000978,1,258,497
43,6822605,5051423.002168,17433046.001117002,1,261,504
44,6822606,5044045.998683,17430123.997338,1,260,498
45,6822802,5039264.997968,17414565.995082002,1,267,488
46,6822807,5037445.996788,17423017.995945003,1,261,491
47,6822808,5036779.99914,17418292.999427,1,264,488
48,6822810,5036771.997525,17424747.003295,1,260,491
49,6822902,5045433.001255999,17413633.996365,1,270,492
50,6822910,5045363.000337999,17413586.995472,1,270,492
51,6822911,5047942.997405999,17413664.997504,1,272,493
52,6822912,5047031.998122,17414013.995324,1,271,493
53,6822913,5048272.000539,17418956.003582,1,268,496
54,6823104,5062544.999976,17455854.99732,1,252,521
55,6823105,5063037.003078,17445076.999908,1,259,516
56,6823203,5072867.99871,17443516.004524,1,264,522
57,6823208,5072040.998974,17452497.001995,1,258,525
58,6823209,5077019.998635,17447434.995318,1,263,526
59,6823210,5067852.999632,17445000.997095,1,261,519
60,6823211,5079211.994799,17456085.998997,1,259,531
61,6823302,5089941.000980999,17445022.003085002,1,270,533
62,6823304,5089962.999402,17444124.999617998,1,271,533
63,6823306,5084801.997808,17456826.000818,1,261,535
64,6823309,5090896.999379,17446893.997626,1,270,534
65,6823312,5093377.994939,17452535.002398998,1,267,538
66,6823316,5086866.997994999,17447809.000124,1,267,532
67,6823319,5093278.0021,17447787.00285,1,270,536
68,6823502,5077967.998073,17433424.995659,1,272,520
69,6823504,5071794.002172,17429339.003822,1,272,515
70,6823602,5085967.995616999,17440692.999352,1,271,529
71,6823617,5091034.997961,17442131.002413,1,273,532
72,6823621,5083460.001452,17437946.004613,1,272,526
73,6823701,5065579.003055001,17421051.998872,1,275,507
74,6823709,5060340.004416,17417885.997899,1,274,503
75,6823710,5059281.000566999,17426250.001132,1,269,506
76,6823807,5079779.002504,17427650.999776002,1,277,519
77,6824102,5099563.001964,17456533.996616002,1,267,544
78,6824104,5096633.00413,17457616.997373,1,265,543
79,6824120,5102434.001363,17456179.004649,1,269,545
80,6825703,4830135.002612,17373016.99608,1,202,340
81,6825711,4823454.999356,17366341.00412,1,203,333
82,6826802,4878435.9953580005,17368417.997965,1,226,368
83,6827307,4934471.995683,17396089.001817998,1,233,415
84,6827401,4898539.999796,17383766.996126,1,225,387
85,6827517,4918401.998176999,17388892.997189,1,231,402
86,6827609,4924775.003704,17389571.999095,1,233,406
87,6827610,4933109.0038910005,17382309.996987,1,241,408
88,6827611,4935611.002245,17392191.004251,1,236,414
89,6827612,4931968.996254,17389542.999118,1,236,411
90,6827912,4931106.999032,17375223.995246,1,245,404
91,6827913,4931436.996908,17377049.003211,1,244,405
92,6828113,4941811.006068,17397060.998931,1,236,420
93,6828202,4960554.996478,17397285.000353,1,244,432
94,6828210,4951801.995364,17398598.999166,1,239,427
95,6828211,4960553.997343,17397265.000304997,1,244,432
96,6828313,4973944.002640001,17405468.998046,1,244,444
97,6828314,4972352.001941,17399325.005459,1,248,440
